search_text,item_id,item,reading,note,category,category_display,rule_ref,source_pdf_page,source_printed_page,source_section,verification_status
アイスキャンディーの棒,item_0001,アイスキャンディーの棒,,,可燃,可燃ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
雨ガッパ,item_0002,雨ガッパ,,,可燃,可燃ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
アイスクリーマー,item_0003,アイスクリーマー,,,粗大,粗大ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
雨戸・網戸,item_0004,雨戸・網戸,,,粗大,粗大ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
アイスクリームの容器・包装・ふた（紙製） リサイクルが困難なため,item_0005,アイスクリームの容器・包装・ふた（紙製）,,リサイクルが困難なため,可燃,可燃ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
雨どい 長さを120cm 程度まで にして出す,item_0006,雨どい,,長さを120cm 程度まで にして出す,粗大,粗大ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
アイスクリームの容器・包装・ふた（プラスチック製） 汚れを取り除く,item_0007,アイスクリームの容器・包装・ふた（プラスチック製）,,汚れを取り除く,プラ,プラスチック製容器包装,,18,17,ごみ分別辞典,table_cell_geometry_extracted
網 金網は「金・ガ」,item_0008,網,,金網は「金・ガ」,可燃,可燃ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
編み機,item_0009,編み機,,,粗大,粗大ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
アイスノン,item_0010,アイスノン,,,可燃,可燃ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
編み針 金属製のものは「金・ガ」,item_0011,編み針,,金属製のものは「金・ガ」,可燃,可燃ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
アイスピック 危なくないようにする,item_0012,アイスピック,,危なくないようにする,金・ガ,金物・ガラス類,,18,17,ごみ分別辞典,table_cell_geometry_extracted
飴の個包装（紙製） リサイクルが困難なため,item_0013,飴の個包装（紙製）,,リサイクルが困難なため,可燃,可燃ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
アイロン・アイロン台,item_0014,アイロン・アイロン台,,,粗大,粗大ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
飴の個包装（プラスチック製）,item_0015,飴の個包装（プラスチック製）,,,プラ,プラスチック製容器包装,,18,17,ごみ分別辞典,table_cell_geometry_extracted
アイロン用のり（容器） 汚れを取り除く 金属製のものは「金・ガ」,item_0016,アイロン用のり（容器）,,汚れを取り除く 金属製のものは「金・ガ」,プラ,プラスチック製容器包装,,18,17,ごみ分別辞典,table_cell_geometry_extracted
飴の外袋（プラスチック製）,item_0017,飴の外袋（プラスチック製）,,,プラ,プラスチック製容器包装,,18,17,ごみ分別辞典,table_cell_geometry_extracted
アカすり,item_0018,アカすり,,,可燃,可燃ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
アルカリ電池,item_0019,アルカリ電池,,,埋立,埋立ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
空き缶・空きびん キャップをはずし、す すいで出す,item_0020,空き缶・空きびん,,キャップをはずし、す すいで出す,金・ガ,金物・ガラス類,,18,17,ごみ分別辞典,table_cell_geometry_extracted
アルバム リサイクルが困難なため,item_0021,アルバム,,リサイクルが困難なため,可燃,可燃ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
アルミコーティング袋（レトルト食品用） 汚れを取り除く,item_0022,アルミコーティング袋（レトルト食品用）,,汚れを取り除く,プラ,プラスチック製容器包装,,18,17,ごみ分別辞典,table_cell_geometry_extracted
アコーディオン（楽器）,item_0023,アコーディオン（楽器）,,,粗大,粗大ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
アコーディオンカーテン,item_0024,アコーディオンカーテン,,,粗大,粗大ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
アルミトレイ,item_0025,アルミトレイ,,,金・ガ,金物・ガラス類,,18,17,ごみ分別辞典,table_cell_geometry_extracted
足拭きマット,item_0026,足拭きマット,,,可燃,可燃ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
アルミ箔・アルミホイル,item_0027,アルミ箔・アルミホイル,,,可燃,可燃ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
アタッシュケース,item_0028,アタッシュケース,,,粗大,粗大ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
アルミ箔鍋・容器 うどん・ラーメンなど,item_0029,アルミ箔鍋・容器,,うどん・ラーメンなど,可燃,可燃ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
アダプター,item_0030,アダプター,,,粗大,粗大ごみ,,18,17,ごみ分別辞典,table_cell_geometry_extracted
アルミホイル（アルミ箔）の芯 使いきってから、なる べくつぶして出す,item_0031,アルミホイル（アルミ箔）の芯,,使いきってから、なる べくつぶして出す,紙類,紙類,,18,17,ごみ分別辞典,table_cell_geometry_extracted
厚紙（贈答箱・靴箱など） ビニール・金銀加工して いるものはリサイクルが 困難なため「可燃」,item_0032,厚紙（贈答箱・靴箱など）,,ビニール・金銀加工して いるものはリサイクルが 困難なため「可燃」,紙類,紙類,,18,17,ごみ分別辞典,table_cell_geometry_extracted
