search_text,calendar_id,record_type,region_id,region_name,fiscal_year,year,month,collection_type_id,collection_type,collection_dates,group,period_start,period_end,areas,note,source_page
松山市 清水地区 2026年4月 ごみカレンダー。可燃ごみの収集日・収集予定は、2026年4月3日（金）、2026年4月7日（火）、2026年4月10日（金）、2026年4月14日（火）、2026年4月17日（金）、2026年4月21日（火）、2026年4月24日（金）、2026年4月28日（火）です。,shimizu_2026_04_combustible,monthly_collection_schedule,shimizu,清水地区,2026,2026,4,combustible,可燃ごみ,2026-04-03|2026-04-07|2026-04-10|2026-04-14|2026-04-17|2026-04-21|2026-04-24|2026-04-28,,,,,,1
松山市 清水地区 2026年4月 ごみカレンダー。埋立ごみの収集日・収集予定は、2026年4月22日（水）です。,shimizu_2026_04_landfill,monthly_collection_schedule,shimizu,清水地区,2026,2026,4,landfill,埋立ごみ,2026-04-22,,,,,,1
松山市 清水地区 2026年4月 ごみカレンダー。金物・ガラス類の収集日・収集予定は、2026年4月2日（木）、2026年4月16日（木）、2026年4月30日（木）です。,shimizu_2026_04_metal_glass,monthly_collection_schedule,shimizu,清水地区,2026,2026,4,metal_glass,金物・ガラス類,2026-04-02|2026-04-16|2026-04-30,,,,,,1
松山市 清水地区 2026年4月 ごみカレンダー。紙類の収集日・収集予定は、2026年4月9日（木）、2026年4月23日（木）です。,shimizu_2026_04_paper,monthly_collection_schedule,shimizu,清水地区,2026,2026,4,paper,紙類,2026-04-09|2026-04-23,,,,,,1
松山市 清水地区 2026年4月 ごみカレンダー。ペットボトルの収集日・収集予定は、2026年4月1日（水）、2026年4月15日（水）です。,shimizu_2026_04_pet_bottle,monthly_collection_schedule,shimizu,清水地区,2026,2026,4,pet_bottle,ペットボトル,2026-04-01|2026-04-15,,,,,,1
松山市 清水地区 2026年4月 ごみカレンダー。プラスチック製容器包装の収集日・収集予定は、2026年4月6日（月）、2026年4月13日（月）、2026年4月20日（月）、2026年4月27日（月）です。,shimizu_2026_04_plastic_packaging,monthly_collection_schedule,shimizu,清水地区,2026,2026,4,plastic_packaging,プラスチック製容器包装,2026-04-06|2026-04-13|2026-04-20|2026-04-27,,,,,,1
松山市 清水地区 2026年5月 ごみカレンダー。可燃ごみの収集日・収集予定は、2026年5月1日（金）、2026年5月5日（火）、2026年5月8日（金）、2026年5月12日（火）、2026年5月15日（金）、2026年5月19日（火）、2026年5月22日（金）、2026年5月26日（火）、2026年5月29日（金）です。,shimizu_2026_05_combustible,monthly_collection_schedule,shimizu,清水地区,2026,2026,5,combustible,可燃ごみ,2026-05-01|2026-05-05|2026-05-08|2026-05-12|2026-05-15|2026-05-19|2026-05-22|2026-05-26|2026-05-29,,,,,,1
松山市 清水地区 2026年5月 ごみカレンダー。埋立ごみの収集日・収集予定は、2026年5月27日（水）です。,shimizu_2026_05_landfill,monthly_collection_schedule,shimizu,清水地区,2026,2026,5,landfill,埋立ごみ,2026-05-27,,,,,,1
松山市 清水地区 2026年5月 ごみカレンダー。金物・ガラス類の収集日・収集予定は、2026年5月14日（木）、2026年5月28日（木）です。,shimizu_2026_05_metal_glass,monthly_collection_schedule,shimizu,清水地区,2026,2026,5,metal_glass,金物・ガラス類,2026-05-14|2026-05-28,,,,,,1
松山市 清水地区 2026年5月 ごみカレンダー。紙類の収集日・収集予定は、2026年5月7日（木）、2026年5月21日（木）です。,shimizu_2026_05_paper,monthly_collection_schedule,shimizu,清水地区,2026,2026,5,paper,紙類,2026-05-07|2026-05-21,,,,,,1
松山市 清水地区 2026年5月 ごみカレンダー。ペットボトルの収集日・収集予定は、2026年5月6日（水）、2026年5月20日（水）です。,shimizu_2026_05_pet_bottle,monthly_collection_schedule,shimizu,清水地区,2026,2026,5,pet_bottle,ペットボトル,2026-05-06|2026-05-20,,,,,,1
松山市 清水地区 2026年5月 ごみカレンダー。プラスチック製容器包装の収集日・収集予定は、2026年5月4日（月）、2026年5月11日（月）、2026年5月18日（月）、2026年5月25日（月）です。,shimizu_2026_05_plastic_packaging,monthly_collection_schedule,shimizu,清水地区,2026,2026,5,plastic_packaging,プラスチック製容器包装,2026-05-04|2026-05-11|2026-05-18|2026-05-25,,,,,,1
松山市 清水地区 2026年6月 ごみカレンダー。可燃ごみの収集日・収集予定は、2026年6月2日（火）、2026年6月5日（金）、2026年6月9日（火）、2026年6月12日（金）、2026年6月16日（火）、2026年6月19日（金）、2026年6月23日（火）、2026年6月26日（金）、2026年6月30日（火）です。,shimizu_2026_06_combustible,monthly_collection_schedule,shimizu,清水地区,2026,2026,6,combustible,可燃ごみ,2026-06-02|2026-06-05|2026-06-09|2026-06-12|2026-06-16|2026-06-19|2026-06-23|2026-06-26|2026-06-30,,,,,,1
松山市 清水地区 2026年6月 ごみカレンダー。埋立ごみの収集日・収集予定は、2026年6月24日（水）です。,shimizu_2026_06_landfill,monthly_collection_schedule,shimizu,清水地区,2026,2026,6,landfill,埋立ごみ,2026-06-24,,,,,,1
松山市 清水地区 2026年6月 ごみカレンダー。水銀ごみの収集日・収集予定は、2026年6月10日（水）です。,shimizu_2026_06_mercury,monthly_collection_schedule,shimizu,清水地区,2026,2026,6,mercury,水銀ごみ,2026-06-10,,,,,,1
松山市 清水地区 2026年6月 ごみカレンダー。金物・ガラス類の収集日・収集予定は、2026年6月11日（木）、2026年6月25日（木）です。,shimizu_2026_06_metal_glass,monthly_collection_schedule,shimizu,清水地区,2026,2026,6,metal_glass,金物・ガラス類,2026-06-11|2026-06-25,,,,,,1
松山市 清水地区 2026年6月 ごみカレンダー。紙類の収集日・収集予定は、2026年6月4日（木）、2026年6月18日（木）です。,shimizu_2026_06_paper,monthly_collection_schedule,shimizu,清水地区,2026,2026,6,paper,紙類,2026-06-04|2026-06-18,,,,,,1
松山市 清水地区 2026年6月 ごみカレンダー。ペットボトルの収集日・収集予定は、2026年6月3日（水）、2026年6月17日（水）です。,shimizu_2026_06_pet_bottle,monthly_collection_schedule,shimizu,清水地区,2026,2026,6,pet_bottle,ペットボトル,2026-06-03|2026-06-17,,,,,,1
松山市 清水地区 2026年6月 ごみカレンダー。プラスチック製容器包装の収集日・収集予定は、2026年6月1日（月）、2026年6月8日（月）、2026年6月15日（月）、2026年6月22日（月）、2026年6月29日（月）です。,shimizu_2026_06_plastic_packaging,monthly_collection_schedule,shimizu,清水地区,2026,2026,6,plastic_packaging,プラスチック製容器包装,2026-06-01|2026-06-08|2026-06-15|2026-06-22|2026-06-29,,,,,,1
松山市 清水地区 2026年7月 ごみカレンダー。可燃ごみの収集日・収集予定は、2026年7月3日（金）、2026年7月7日（火）、2026年7月10日（金）、2026年7月14日（火）、2026年7月17日（金）、2026年7月21日（火）、2026年7月24日（金）、2026年7月28日（火）、2026年7月31日（金）です。,shimizu_2026_07_combustible,monthly_collection_schedule,shimizu,清水地区,2026,2026,7,combustible,可燃ごみ,2026-07-03|2026-07-07|2026-07-10|2026-07-14|2026-07-17|2026-07-21|2026-07-24|2026-07-28|2026-07-31,,,,,,1
