| No. | 地区         |
| --: | ---------- |
|   1 | 別宮①・今治①地区  |
|   2 | 美須賀①地区     |
|   3 | 美須賀②地区     |
|   4 | 日吉①地区      |
|   5 | 日吉②地区      |
|   6 | 別宮②地区      |
|   7 | 常盤①地区      |
|   8 | 常盤②地区      |
|   9 | 常盤③地区      |
|  10 | 城東①地区      |
|  11 | 城東②地区      |
|  12 | 波止浜地区      |
|  13 | 波止浜（特）地区   |
|  14 | 近見地区       |
|  15 | 日高地区       |
|  16 | 乃万地区       |
|  17 | 鳥生地区       |
|  18 | 立花地区       |
|  19 | 清水地区       |
|  20 | 富田地区       |
|  21 | 国分地区       |
|  22 | 桜井地区       |
|  23 | 朝倉①地区      |
|  24 | 朝倉②地区      |
|  25 | 玉川①地区      |
|  26 | 玉川②地区      |
|  27 | 波方①地区      |
|  28 | 波方②地区      |
|  29 | 波方③地区      |
|  30 | 大西①地区      |
|  31 | 大西②地区      |
|  32 | 大西③地区      |
|  33 | 大西④地区      |
|  34 | 菊間①地区      |
|  35 | 菊間②地区      |
|  36 | 吉海地区       |
|  37 | 宮窪地区       |
|  38 | 宮窪（特）地区    |
|  39 | 伯方①地区      |
|  40 | 伯方②地区      |
|  41 | 上浦地区       |
|  42 | 大三島地区      |
|  43 | 関前岡村地区     |
|  44 | 関前大下・小大下地区 |
